name,group,lookback_window,dtype,missing_rule
dark_count_1y,crash conditions,t-1,float64,zero-filled
dark_count_3y,crash conditions,t-3 to t-1,float64,zero-filled
dark_count_5y,crash conditions,t-5 to t-1,int64,zero-filled
dark_share_1y,crash conditions,t-1,float64,zero-filled
dark_share_3y,crash conditions,t-3 to t-1,float64,zero-filled
dark_share_5y,crash conditions,t-5 to t-1,float64,zero-filled
holiday_count_1y,crash conditions,t-1,float64,zero-filled
holiday_count_3y,crash conditions,t-3 to t-1,float64,zero-filled
holiday_count_5y,crash conditions,t-5 to t-1,int8,zero-filled
holiday_share_1y,crash conditions,t-1,float64,zero-filled
holiday_share_3y,crash conditions,t-3 to t-1,float64,zero-filled
holiday_share_5y,crash conditions,t-5 to t-1,float64,zero-filled
roadworks_count_1y,crash conditions,t-1,float64,zero-filled
roadworks_count_3y,crash conditions,t-3 to t-1,float64,zero-filled
roadworks_count_5y,crash conditions,t-5 to t-1,int8,zero-filled
roadworks_share_1y,crash conditions,t-1,float64,zero-filled
roadworks_share_3y,crash conditions,t-3 to t-1,float64,zero-filled
roadworks_share_5y,crash conditions,t-5 to t-1,float64,zero-filled
sh_count_1y,crash conditions,t-1,float64,zero-filled
sh_count_3y,crash conditions,t-3 to t-1,float64,zero-filled
sh_count_5y,crash conditions,t-5 to t-1,int64,zero-filled
sh_share_1y,crash conditions,t-1,float64,zero-filled
sh_share_3y,crash conditions,t-3 to t-1,float64,zero-filled
sh_share_5y,crash conditions,t-5 to t-1,float64,zero-filled
slipflood_count_1y,crash conditions,t-1,float64,zero-filled
slipflood_count_3y,crash conditions,t-3 to t-1,float64,zero-filled
slipflood_count_5y,crash conditions,t-5 to t-1,int8,zero-filled
slipflood_share_1y,crash conditions,t-1,float64,zero-filled
slipflood_share_3y,crash conditions,t-3 to t-1,float64,zero-filled
slipflood_share_5y,crash conditions,t-5 to t-1,float64,zero-filled
unsealed_count_1y,crash conditions,t-1,float64,zero-filled
unsealed_count_3y,crash conditions,t-3 to t-1,float64,zero-filled
unsealed_count_5y,crash conditions,t-5 to t-1,int8,zero-filled
unsealed_share_1y,crash conditions,t-1,float64,zero-filled
unsealed_share_3y,crash conditions,t-3 to t-1,float64,zero-filled
unsealed_share_5y,crash conditions,t-5 to t-1,float64,zero-filled
wet_surface_count_1y,crash conditions,t-1,float64,zero-filled
wet_surface_count_3y,crash conditions,t-3 to t-1,float64,zero-filled
wet_surface_count_5y,crash conditions,t-5 to t-1,int8,zero-filled
wet_surface_share_1y,crash conditions,t-1,float64,zero-filled
wet_surface_share_3y,crash conditions,t-3 to t-1,float64,zero-filled
wet_surface_share_5y,crash conditions,t-5 to t-1,float64,zero-filled
wet_weather_count_1y,crash conditions,t-1,float64,zero-filled
wet_weather_count_3y,crash conditions,t-3 to t-1,float64,zero-filled
wet_weather_count_5y,crash conditions,t-5 to t-1,int64,zero-filled
wet_weather_share_1y,crash conditions,t-1,float64,zero-filled
wet_weather_share_3y,crash conditions,t-3 to t-1,float64,zero-filled
wet_weather_share_5y,crash conditions,t-5 to t-1,float64,zero-filled
crash_count_1y,crash-frequency history,t-1,float64,zero-filled
crash_count_3y,crash-frequency history,t-3 to t-1,float64,zero-filled
crash_count_5y,crash-frequency history,t-5 to t-1,int64,zero-filled
national_volume_share_5y,crash-frequency history,t-5 to t-1,float64,zero-filled
records_used,crash-frequency history,t-5 to t-1,int64,zero-filled
share_years_with_crash_5y,crash-frequency history,t-5 to t-1,float64,zero-filled
years_since_last_crash,crash-frequency history,t-5 to t-1,int16,zero-filled
years_since_last_crash_missing,crash-frequency history,t-5 to t-1,int8,zero-filled
years_with_crash_1y,crash-frequency history,t-1,float64,zero-filled
years_with_crash_3y,crash-frequency history,t-3 to t-1,float64,zero-filled
years_with_crash_5y,crash-frequency history,t-5 to t-1,int64,zero-filled
yoy_trend,crash-frequency history,t-5 to t-1,float64,zero-filled
distinct_coords_1y,data quality,t-1,float64,zero-filled
distinct_coords_3y,data quality,t-3 to t-1,float64,zero-filled
distinct_coords_5y,data quality,t-5 to t-1,int64,zero-filled
lanes_invalid_count_1y,data quality,t-1,float64,zero-filled
lanes_invalid_count_3y,data quality,t-3 to t-1,float64,zero-filled
lanes_invalid_count_5y,data quality,t-5 to t-1,int8,zero-filled
lanes_invalid_share_1y,data quality,t-1,float64,zero-filled
lanes_invalid_share_3y,data quality,t-3 to t-1,float64,zero-filled
lanes_invalid_share_5y,data quality,t-5 to t-1,float64,zero-filled
lanes_modal_1y_missing,data quality,t-5 to t-1,int8,zero-filled
lanes_modal_3y_missing,data quality,t-5 to t-1,int8,zero-filled
lanes_modal_5y_missing,data quality,t-5 to t-1,int8,zero-filled
region_missing_count_1y,data quality,t-1,float64,zero-filled
region_missing_count_3y,data quality,t-3 to t-1,float64,zero-filled
region_missing_count_5y,data quality,t-5 to t-1,int64,zero-filled
region_missing_share_1y,data quality,t-1,float64,zero-filled
region_missing_share_3y,data quality,t-3 to t-1,float64,zero-filled
region_missing_share_5y,data quality,t-5 to t-1,float64,zero-filled
speed_invalid_count_1y,data quality,t-1,float64,zero-filled
speed_invalid_count_3y,data quality,t-3 to t-1,float64,zero-filled
speed_invalid_count_5y,data quality,t-5 to t-1,int8,zero-filled
speed_invalid_share_1y,data quality,t-1,float64,zero-filled
speed_invalid_share_3y,data quality,t-3 to t-1,float64,zero-filled
speed_invalid_share_5y,data quality,t-5 to t-1,float64,zero-filled
speed_median_1y_missing,data quality,t-5 to t-1,int8,zero-filled
